,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
465,Osel Devcies Ltd.,SME,319.3,514.9,24 Sep `24,70.7 Cr,₹ 160,42.2x,427.3x,273.6x,180.7x,198.1,207.9,23.8%,99.5%
466,Popular Foundations Ltd.,SME,33.1,67.5,24 Sep `24,19.9 Cr,₹ 37,-,3.5x,14.1x,8.8x,37.0,37.1,0.0%,-10.5%
467,Envirotech Systems Ltd.,SME,128.0,240.5,24 Sep `24,30.2 Cr,₹ 56,32.1x,221.7x,75.5x,75.7x,106.4,111.7,90.0%,128.6%
468,Deccan Transcon Leasing Ltd.,SME,39.0,88.6,24 Sep `24,65.1 Cr,₹ 108,26.3x,182.9x,159.1x,96.3x,116.0,110.3,7.4%,-63.9%
469,Sodhani Academy of Fintech Enablers Ltd.,SME,280.0,159.5,23 Sep `24,6.1 Cr,₹ 40,-,492.6x,340.2x,416.4x,53.0,55.6,32.5%,600.0%
470,Excellent Wires ,SME,48.1,21.5,19 Sep `24,12.6 Cr,₹ 90,-,8.4x,30.4x,19.4x,85.0,82.0,-5.6%,-46.6%
471,Innomet Advanced Materials Ltd.,SME,171.5,221.9,18 Sep `24,34.2 Cr,₹ 100,-,299.0x,215.6x,282.5x,190.0,199.5,90.0%,71.5%
472,SPP Polymer Ltd.,SME,17.6,27.1,17 Sep `24,24.5 Cr,₹ 59,-,21.3x,56.8x,39.1x,63.0,59.9,6.8%,-70.2%
473,Shubhshree Biofuels Energy Ltd.,SME,366.1,191.9,16 Sep `24,16.6 Cr,₹ 119,14.7x,327.4x,179.8x,119.4x,189.0,198.4,58.8%,207.7%
474,Aditya Ultra Steel Ltd.,SME,33.5,83.2,16 Sep `24,45.9 Cr,₹ 62,1.1x,11.9x,22.5x,10.2x,69.9,66.4,12.7%,-46.0%
475,Share Samadhan Ltd.,SME,73.5,90.2,16 Sep `24,24.1 Cr,₹ 74,2.7x,16.9x,18.0x,13.6x,73.0,74.9,-1.3%,-0.7%
476,Gajanand International Ltd.,SME,13.0,24.5,16 Sep `24,20.6 Cr,₹ 36,-,5.6x,23.0x,14.3x,42.0,39.9,16.7%,-63.9%
477,Vision Infra Equipment Solutions Ltd.,SME,162.0,399.2,13 Sep `24,106.2 Cr,₹ 163,2.3x,2.2x,4.1x,2.9x,205.0,215.3,25.8%,-0.6%
478,My Mudra Fincorp,SME,77.6,88.4,12 Sep `24,33.3 Cr,₹ 110,25.9x,211.9x,144.4x,95.3x,130.0,123.5,18.2%,-29.4%
479,Mach Conferences and Events Ltd.,SME,144.2,303.2,11 Sep `24,125.3 Cr,₹ 225,146.7x,293.0x,136.5x,182.0x,300.0,295.6,33.3%,-35.9%
480,Namo eWaste Management Ltd.,SME,136.0,311.0,11 Sep `24,51.2 Cr,₹ 85,91.6x,524.5x,259.7x,209.9x,161.5,169.6,90.0%,60.0%
481,Naturewings Holidays Ltd.,SME,63.6,20.1,10 Sep `24,7.0 Cr,₹ 74,-,265.8x,462.6x,364.2x,95.0,90.3,28.4%,-14.1%
482,Jeyyam Global Foods Ltd.,SME,40.0,190.0,09 Sep `24,81.9 Cr,₹ 61,29.5x,425.7x,93.2x,111.2x,61.0,64.0,0.0%,-34.4%
483,Boss Packaging Solutions Ltd.,SME,46.4,20.6,06 Sep `24,8.4 Cr,₹ 66,-,98.5x,156.7x,127.6x,82.5,86.6,25.0%,-29.7%
484,Travels & Rentals Ltd.,SME,51.0,57.1,05 Sep `24,12.2 Cr,₹ 40,-,747.8x,408.5x,578.1x,55.0,57.8,37.5%,27.5%
485,Paramatrix Tech,SME,90.0,103.6,04 Sep `24,33.8 Cr,₹ 110,-,6.0x,11.3x,8.6x,115.0,120.8,4.6%,-18.2%
486,Aeron Composite,SME,127.0,216.2,04 Sep `24,56.1 Cr,₹ 125,13.8x,94.3x,42.1x,35.8x,150.0,157.5,20.0%,1.6%
487,Indian Phosphate Ltd.,SME,57.3,143.2,03 Sep `24,67.4 Cr,₹ 99,95.8x,586.4x,355.3x,260.2x,188.1,178.7,90.0%,-42.1%
488,Jay Bee Laminations Ltd.,SME,233.0,525.8,03 Sep `24,28.9 Cr,₹ 146,37.6x,306.6x,129.9x,110.3x,277.4,291.3,90.0%,59.6%
489,Vdeal System,SME,160.0,78.2,03 Sep `24,18.1 Cr,₹ 112,-,58.6x,76.5x,67.6x,170.0,178.5,51.8%,42.9%
490,Rapid Multimodal ,SME,69.3,26.4,30 Aug `24,8.5 Cr,₹ 84,-,501.8x,163.8x,332.8x,103.0,108.1,22.6%,-17.5%
491,Resourceful Automobile,SME,61.0,16.2,29 Aug `24,12.0 Cr,₹ 117,-,324.3x,471.2x,397.8x,117.0,122.8,0.0%,-47.9%
492,Ideal Technoplast ,SME,132.1,66.0,28 Aug `24,16.0 Cr,₹ 121,-,103.1x,109.7x,106.4x,132.1,138.7,9.2%,9.1%
493,QVC Exports,SME,32.2,33.7,28 Aug `24,24.1 Cr,₹ 86,-,566.3x,397.8x,482.1x,161.0,152.9,87.2%,-62.6%
494,Forcas Studio,SME,111.0,195.1,26 Aug `24,37.4 Cr,₹ 80,109.1x,932.7x,552.3x,387.8x,152.0,144.4,90.0%,38.8%
495,Brace Port Logistics,SME,88.0,99.5,26 Aug `24,24.4 Cr,₹ 80,128.3x,1813.5x,803.0x,617.3x,152.0,159.6,90.0%,10.0%
496,Solve Plastic ,SME,29.0,12.7,21 Aug `24,11.8 Cr,₹ 91,-,14.8x,40.7x,28.7x,102.0,107.1,12.1%,-68.1%
497,Broach Lifecare Hospital,SME,22.0,13.4,21 Aug `24,4.0 Cr,₹ 25,-,84.0x,214.5x,150.8x,47.5,49.9,90.0%,-12.0%
498,Sunlite Recycling ,SME,165.0,179.5,20 Aug `24,30.2 Cr,₹ 105,57.8x,775.6x,334.0x,262.1x,199.5,209.4,90.0%,57.1%
499,Positron Energy,SME,320.1,243.3,20 Aug `24,51.2 Cr,₹ 250,122.8x,1071.8x,467.7x,385.9x,475.0,498.8,90.0%,28.0%
500,Aesthetik Engineers,SME,122.0,210.1,16 Aug `24,26.5 Cr,₹ 58,109.9x,2577.7x,633.4x,663.3x,110.2,115.7,90.0%,110.3%
501,Afcom Holdings,SME,851.0,2115.4,09 Aug `24,73.8 Cr,₹ 108,186.2x,512.0x,202.8x,281.4x,205.2,215.4,90.0%,688.0%
502,Picturepost Studios,SME,21.3,62.3,09 Aug `24,18.7 Cr,₹ 24,53.6x,520.6x,418.9x,251.5x,30.0,31.5,25.0%,-11.5%
503,Dhariwalcorp,SME,150.0,134.3,08 Aug `24,25.1 Cr,₹ 106,39.8x,379.7x,251.8x,165.0x,150.0,142.5,41.5%,41.5%
504,Utssav CZ Jewels,SME,228.0,543.1,07 Aug `24,69.5 Cr,₹ 110,19.4x,86.1x,62.0x,44.3x,110.0,115.5,0.1%,107.3%
505,Sathlokhar Synergys ,SME,369.0,890.7,06 Aug `24,92.9 Cr,₹ 140,85.8x,478.9x,200.8x,185.0x,260.0,247.0,85.7%,163.6%
506,Rajputana Industries,SME,78.0,173.4,06 Aug `24,23.9 Cr,₹ 38,81.8x,540.0x,644.6x,347.5x,72.2,75.8,90.0%,105.4%
507,Bulkcorp Intl,SME,61.5,46.2,06 Aug `24,20.8 Cr,₹ 105,55.4x,334.3x,481.7x,246.4x,130.0,136.5,23.8%,-41.4%
508,Ashapura Logistics,SME,69.9,94.8,06 Aug `24,52.7 Cr,₹ 144,68.2x,385.3x,231.4x,172.9x,185.0,175.8,28.5%,-51.5%
509,Kizi Apparels,SME,18.0,14.1,06 Aug `24,5.6 Cr,₹ 21,-,86.9x,132.4x,109.7x,23.1,24.3,10.2%,-14.3%
510,S A Tech Software,SME,57.5,75.1,02 Aug `24,23.0 Cr,₹ 59,103.4x,1518.1x,798.3x,558.9x,112.1,117.7,90.0%,-2.5%
511,Esprit Stones,SME,105.0,230.5,02 Aug `24,50.4 Cr,₹ 87,60.5x,514.3x,187.4x,173.0x,93.2,97.8,7.1%,20.8%
512,Aprameya Engineering,SME,162.0,308.4,01 Aug `24,29.2 Cr,₹ 58,48.0x,451.8x,249.5x,179.1x,72.0,75.6,24.1%,179.3%
513,Clinitech Laboratory,SME,34.4,7.9,01 Aug `24,5.8 Cr,₹ 96,-,24.4x,49.6x,37.0x,115.0,120.8,19.8%,-64.2%
514,Trom Industries,SME,101.2,93.0,01 Aug `24,31.4 Cr,₹ 115,104.7x,1000.4x,651.1x,430.3x,218.5,229.4,90.0%,-12.0%
515,Chetana Education,SME,81.0,165.2,31 Jul `24,45.9 Cr,₹ 85,53.7x,622.4x,179.3x,183.0x,98.9,103.8,16.4%,-4.7%
516,Manglam Infra,SME,21.6,37.9,31 Jul `24,27.6 Cr,₹ 56,79.7x,923.4x,454.5x,337.4x,106.4,111.7,90.0%,-61.5%
517,V L Infraprojects,SME,45.5,71.6,30 Jul `24,18.5 Cr,₹ 42,107.5x,961.0x,1114.5x,588.0x,79.8,83.8,90.0%,8.4%
518,VVIP Infratech,SME,189.0,471.9,30 Jul `24,61.2 Cr,₹ 93,168.4x,335.9x,181.7x,220.0x,176.7,185.5,90.0%,103.2%
519,RNFI Services,SME,251.9,628.6,29 Jul `24,70.8 Cr,₹ 105,74.0x,678.5x,210.8x,212.6x,199.5,189.6,90.0%,139.9%
520,SAR Televenture,SME,261.6,1232.1,29 Jul `24,150.0 Cr,₹ 210,4.4x,15.3x,9.9x,8.0x,225.1,232.6,7.2%,24.6%
521,Macobs Technologies,SME,164.8,161.4,24 Jul `24,19.5 Cr,₹ 75,40.8x,305.5x,202.5x,190.1x,96.0,100.8,28.0%,119.7%
522,Kataria Industries,SME,109.2,235.1,24 Jul `24,54.6 Cr,₹ 96,90.9x,1286.9x,364.5x,366.1x,182.4,191.5,90.0%,13.8%
523,Tunwal E-Motors,SME,31.0,178.8,23 Jul `24,115.6 Cr,₹ 59,-,7.3x,15.8x,11.6x,64.0,60.8,8.5%,-47.5%
524,Prizor Viztech,SME,214.0,228.8,22 Jul `24,25.1 Cr,₹ 87,49.5x,372.4x,354.9x,204.9x,165.3,0.0,90.0%,146.0%
525,Three M Paper Boards,SME,51.5,99.0,22 Jul `24,39.8 Cr,₹ 69,79.4x,210.8x,175.2x,159.4x,76.0,79.8,10.1%,-25.4%
526,Sati Poly Plast,SME,89.3,44.2,22 Jul `24,17.4 Cr,₹ 130,77.3x,755.1x,887.9x,462.7x,247.0,0.0,90.0%,-31.4%
527,Aelea Commodities,SME,169.0,344.2,22 Jul `24,51.0 Cr,₹ 95,104.2x,288.8x,164.9x,182.2x,165.0,173.3,73.7%,77.9%
528,Sahaj Solar,SME,265.0,582.3,19 Jul `24,52.6 Cr,₹ 180,112.5x,1132.8x,702.2x,472.0x,342.0,359.1,90.0%,194.4%
529,Ganesh Green Bharat,SME,509.8,1264.4,12 Jul `24,125.2 Cr,₹ 190,80.8x,616.3x,231.5x,213.9x,361.0,379.1,90.0%,168.3%
530,Effwa Infra & Research,SME,231.0,534.7,12 Jul `24,51.3 Cr,₹ 82,86.4x,650.4x,429.6x,291.1x,155.8,163.6,90.0%,181.7%
531,Ambey Laboratories,SME,37.9,94.4,11 Jul `24,44.7 Cr,₹ 68,33.0x,279.0x,258.9x,148.9x,85.0,89.3,25.0%,-44.3%
532,Nephro Care,SME,110.8,182.6,05 Jul `24,41.3 Cr,₹ 90,121.0x,2214.8x,782.4x,666.6x,171.0,179.6,90.0%,23.1%
533,Diensten Tech,SME,165.0,136.3,03 Jul `24,22.1 Cr,₹ 100,5.1x,206.8x,47.6x,50.2x,240.0,252.0,140.0%,65.0%
534,Akiko Global ,SME,84.0,90.4,02 Jul `24,23.1 Cr,₹ 77,6.2x,65.0x,63.9x,35.2x,98.0,93.3,27.3%,9.0%
535,Petro Carbon ,SME,180.0,444.6,02 Jul `24,113.2 Cr,₹ 171,49.1x,169.5x,96.7x,83.8x,300.0,315.0,75.4%,5.3%
536,Divine Power Energy,SME,152.0,326.3,02 Jul `24,22.8 Cr,₹ 40,73.1x,632.9x,678.8x,369.1x,155.0,152.3,287.5%,280.0%
537,Shivalic Power ,SME,119.0,287.0,01 Jul `24,64.3 Cr,₹ 100,90.2x,578.5x,305.0x,238.6x,311.0,326.6,211.0%,19.0%
538,Sylvan Plyboard,SME,86.0,166.5,01 Jul `24,28.1 Cr,₹ 55,-,72.2x,84.8x,78.5x,66.0,69.3,20.0%,56.3%
539,Mason Infratech,SME,177.1,311.1,01 Jul `24,30.5 Cr,₹ 64,4.2x,67.3x,48.6x,30.7x,88.0,92.4,37.5%,176.6%
540,Visaman Global Sales,SME,52.7,72.8,01 Jul `24,16.1 Cr,₹ 43,-,22.3x,48.9x,37.9x,45.1,47.4,4.9%,22.6%
541,Medicamen Organics,SME,40.8,47.7,28 Jun `24,10.5 Cr,₹ 34,90.9x,1773.0x,1729.8x,916.8x,137.8,144.7,305.4%,20.0%
542,Dindigul Farm ,SME,25.3,61.8,27 Jun `24,34.8 Cr,₹ 54,145.6x,207.1x,201.4x,188.1x,102.6,107.7,90.0%,-53.1%
543,Winny Immigration,SME,133.0,28.9,27 Jun `24,9.1 Cr,₹ 140,-,95.5x,180.7x,142.4x,240.0,252.0,71.4%,-5.0%
544,Durlax Top Surface,SME,42.8,71.2,26 Jun `24,40.8 Cr,₹ 68,40.2x,438.8x,214.3x,160.9x,109.0,103.5,60.3%,-37.1%
545,GEM Enviro Mgmt,SME,69.7,157.2,26 Jun `24,44.9 Cr,₹ 75,160.2x,330.0x,240.3x,244.1x,142.5,149.6,90.0%,-7.1%
546,Falcon Technoprojects,SME,24.0,12.9,26 Jun `24,13.7 Cr,₹ 92,-,43.1x,83.2x,63.2x,84.0,88.2,-8.7%,-73.9%
547,United Cotfab,SME,26.5,45.6,24 Jun `24,36.3 Cr,₹ 70,-,130.3x,73.3x,101.8x,75.0,78.8,7.1%,-62.1%
548,GP Eco Solutions,SME,500.1,591.7,24 Jun `24,30.8 Cr,₹ 94,116.5x,2258.4x,977.4x,739.1x,375.0,393.8,298.9%,432.1%
549,Sattrix Information ,SME,188.0,127.8,12 Jun `24,21.8 Cr,₹ 121,-,98.0x,35.8x,66.9x,150.0,157.5,24.0%,55.4%
550,3C IT Sol & Telecom,SME,26.0,15.7,12 Jun `24,11.4 Cr,₹ 52,-,10.2x,28.3x,19.2x,43.0,45.2,-17.3%,-50.0%
551,Magenta Lifecare,SME,15.2,10.5,12 Jun `24,7.0 Cr,₹ 35,-,1126.3x,737.9x,932.1x,45.0,47.3,28.6%,-56.5%
552,TBI Corn,SME,123.8,224.7,07 Jun `24,44.9 Cr,₹ 94,43.2x,686.2x,258.6x,215.1x,198.0,207.9,110.6%,31.6%
553,Aimtron Electronics,SME,675.0,1377.9,06 Jun `24,87.0 Cr,₹ 161,37.0x,269.1x,94.9x,92.1x,241.0,253.1,49.7%,319.3%
554,Associated Coaters,SME,94.2,12.7,06 Jun `24,5.1 Cr,₹ 121,-,208.9x,417.6x,313.3x,142.0,134.9,17.4%,-22.1%
555,Z-Tech,SME,540.3,774.2,05 Jun `24,37.3 Cr,₹ 110,65.4x,1106.5x,419.2x,345.4x,100.0,105.0,-9.1%,391.1%
556,Beacon Trusteeship,SME,59.5,107.4,04 Jun `24,32.5 Cr,₹ 60,87.0x,1038.6x,671.7x,434.4x,90.0,94.5,50.0%,-0.9%
557,Vilas Transcore,SME,572.8,1402.2,03 Jun `24,95.3 Cr,₹ 147,60.9x,599.4x,214.0x,195.3x,215.0,225.8,46.3%,289.7%
558,GSM Foils,SME,169.3,216.9,31 May `24,11.0 Cr,₹ 32,-,246.3x,234.5x,240.4x,32.0,33.6,0.0%,429.1%
559,HOAC Foods,SME,271.5,104.3,24 May `24,5.5 Cr,₹ 48,-,1317.4x,2350.6x,1834.0x,147.0,139.7,206.3%,465.6%
560,Rulka Electricals,SME,139.0,59.2,24 May `24,26.4 Cr,₹ 235,108.5x,1794.0x,874.5x,629.4x,525.0,498.8,123.4%,-40.9%
561,Quest Laboratories,SME,94.5,154.9,23 May `24,43.2 Cr,₹ 97,29.6x,250.7x,76.8x,79.3x,155.1,147.3,59.9%,-2.6%
562,Indian Emulsifiers,SME,150.2,183.5,22 May `24,42.4 Cr,₹ 132,93.3x,1039.5x,643.9x,427.9x,430.0,451.5,225.8%,13.8%
563,ABS Marine Services,SME,200.8,492.8,21 May `24,96.3 Cr,₹ 147,57.0x,354.6x,146.9x,133.1x,294.0,279.3,100.0%,36.6%
564,Veritaas Advertising,SME,65.2,18.4,21 May `24,8.5 Cr,₹ 114,64.1x,781.3x,1227.8x,581.4x,275.0,261.3,141.2%,-42.8%
565,Mandeep Auto ,SME,27.5,28.4,21 May `24,25.3 Cr,₹ 67,-,58.5x,86.0x,72.3x,62.3,65.3,-7.1%,-59.0%
566,Premier Roadlines,SME,93.9,214.7,17 May `24,40.4 Cr,₹ 67,47.8x,239.7x,141.5x,109.3x,87.0,91.3,29.9%,40.1%
567,Aztec Fluids & Machinery,SME,80.0,108.8,17 May `24,24.1 Cr,₹ 67,107.9x,252.8x,228.4x,203.0x,90.0,85.5,34.3%,19.4%
568,Piotex Industries,SME,50.3,25.7,17 May `24,14.5 Cr,₹ 94,-,115.5x,88.6x,102.0x,109.0,114.3,16.0%,-46.5%
569,Energy-Mission ,SME,187.5,212.4,16 May `24,41.1 Cr,₹ 138,85.9x,804.4x,384.5x,298.2x,366.0,384.3,165.2%,35.9%
570,Silkflex Polymers,SME,96.9,112.5,15 May `24,18.1 Cr,₹ 52,-,34.6x,31.1x,32.8x,60.0,58.7,15.4%,86.3%
571,TGIF Agribusiness,SME,100.8,26.1,15 May `24,6.4 Cr,₹ 93,-,29.2x,35.3x,35.1x,150.0,142.5,61.3%,8.3%
572,Refractory Shapes,SME,62.0,135.2,14 May `24,18.6 Cr,₹ 31,48.2x,616.8x,344.2x,237.1x,75.0,78.8,141.9%,100.0%
573,Winsol Engineers,SME,204.0,235.3,14 May `24,23.4 Cr,₹ 75,110.2x,1447.0x,1038.7x,635.7x,365.0,383.3,386.7%,172.0%
574,Finelistings Tech,SME,31.5,11.5,14 May `24,13.5 Cr,₹ 123,-,34.1x,36.9x,35.5x,127.0,133.3,3.3%,-74.4%
575,Slone Infosystems,SME,250.0,131.7,10 May `24,11.1 Cr,₹ 79,-,718.1x,514.2x,616.1x,118.5,112.6,50.0%,216.5%
576,Storage Technologies,SME,85.0,109.1,08 May `24,29.9 Cr,₹ 78,117.9x,422.8x,242.7x,258.6x,148.2,153.1,90.0%,9.0%
577,Amkay Products,SME,52.0,45.0,08 May `24,12.6 Cr,₹ 55,173.0x,722.0x,973.1x,693.4x,104.5,109.7,90.0%,-5.5%
578,Sai Swami Metals ,SME,34.8,43.6,08 May `24,15.0 Cr,₹ 60,-,530.0x,501.9x,515.9x,114.0,119.7,90.0%,-42.0%
579,Varyaa Creations,SME,49.6,23.8,30 Apr `24,20.1 Cr,₹ 150,-,1.1x,5.8x,3.5x,285.0,270.8,90.0%,-66.9%
580,Emmforce Autotech,SME,85.9,176.1,30 Apr `24,53.9 Cr,₹ 98,160.6x,637.7x,267.6x,338.9x,186.2,195.5,90.0%,-12.3%
581,Shivam Chemicals,SME,57.0,96.8,30 Apr `24,20.2 Cr,₹ 44,-,4.2x,8.4x,6.3x,48.0,47.4,9.1%,29.6%
582,Faalcon Concepts,SME,41.5,28.3,26 Apr `24,12.1 Cr,₹ 62,-,90.7x,44.8x,67.8x,95.0,90.3,53.2%,-33.1%
583,Grill Splendour Services,SME,128.0,72.4,23 Apr `24,16.5 Cr,₹ 120,-,4.5x,12.1x,8.3x,121.3,127.3,1.1%,6.6%
584,Ramdevbaba Solvent,SME,120.0,274.3,23 Apr `24,50.3 Cr,₹ 85,34.9x,416.4x,105.8x,116.9x,112.0,117.6,31.8%,41.2%
585,Greenhitech Ventures,SME,124.0,58.3,22 Apr `24,6.3 Cr,₹ 50,-,893.2x,566.1x,729.7x,95.0,99.8,90.0%,148.0%
586,DCG Cables & Wires,SME,66.6,120.9,16 Apr `24,50.0 Cr,₹ 100,-,11.1x,20.6x,15.8x,90.0,85.5,-10.0%,-33.4%
587,Teerth Gopicon,SME,105.3,126.3,16 Apr `24,44.4 Cr,₹ 111,-,92.4x,42.1x,67.2x,125.0,131.3,12.6%,-5.2%
588,Aluwind Architectural,SME,84.0,208.7,09 Apr `24,29.7 Cr,₹ 45,-,5.1x,10.2x,7.6x,45.0,47.3,0.0%,86.7%
589,Creative Graphics ,SME,199.0,483.3,09 Apr `24,54.4 Cr,₹ 85,52.5x,628.7x,192.2x,187.8x,175.0,176.3,105.9%,134.1%
590,Yash Optics & Lens,SME,82.5,204.3,08 Apr `24,53.1 Cr,₹ 81,9.5x,130.4x,43.0x,39.4x,90.0,92.7,11.1%,1.9%
591,Jay Kailash Namkeen,SME,61.0,30.5,08 Apr `24,11.9 Cr,₹ 73,2.3x,54.6x,51.0x,38.0x,85.0,80.8,16.4%,-16.4%
592,K2 Infragen,SME,68.3,86.1,08 Apr `24,40.5 Cr,₹ 119,12.0x,147.1x,52.3x,46.4x,167.0,173.3,40.3%,-42.6%
593,TAC Infosec,SME,1099.0,1151.7,05 Apr `24,30.0 Cr,₹ 106,75.1x,1022.0x,576.3x,392.6x,290.0,304.5,173.6%,936.8%
594,Radiowalla Network,SME,67.3,47.4,05 Apr `24,14.3 Cr,₹ 76,46.1x,646.3x,463.1x,282.1x,120.2,126.2,58.1%,-11.5%
595,Trust Fintech,SME,61.6,146.8,04 Apr `24,63.5 Cr,₹ 101,34.7x,325.1x,99.7x,101.0x,143.3,150.4,41.8%,-39.0%
596,Aspire & Innovative,SME,23.4,35.5,03 Apr `24,22.0 Cr,₹ 54,2.8x,34.5x,21.8x,14.2x,56.5,59.3,4.6%,-56.7%
597,Blue Pebble,SME,202.4,82.6,03 Apr `24,18.1 Cr,₹ 168,11.5x,129.8x,77.4x,52.3x,199.0,208.9,18.4%,20.5%
598,Vruddhi Engineering,SME,245.0,61.8,03 Apr `24,4.8 Cr,₹ 70,1.1x,28.1x,20.1x,12.7x,71.0,74.5,1.4%,250.0%
599,Gconnect Logitech ,SME,20.5,7.6,03 Apr `24,5.6 Cr,₹ 40,-,40.8x,67.9x,54.4x,42.0,44.1,5.0%,-48.8%
600,Naman In-Store,SME,96.1,125.6,02 Apr `24,25.4 Cr,₹ 89,58.3x,703.0x,436.9x,287.5x,125.0,118.8,40.5%,8.0%
601,Vishwas Agri Seeds,SME,59.0,59.0,01 Apr `24,25.8 Cr,₹ 86,-,12.2x,11.0x,11.6x,85.0,83.6,-1.2%,-31.3%
602,Omfurn,SME,104.0,122.5,28 Mar `24,27.0 Cr,₹ 75,0.8x,3.8x,7.1x,3.4x,76.6,76.6,2.1%,38.7%
603,Chatha Foods,SME,106.0,255.3,27 Mar `24,34.0 Cr,₹ 56,8.5x,33.2x,14.6x,18.0x,73.0,76.7,30.4%,89.3%
604,KP Green Engineering,SME,542.4,2712.0,22 Mar `24,189.5 Cr,₹ 144,31.9x,36.0x,20.1x,27.5x,200.0,210.0,38.9%,276.7%
605,Enfuse Solutions,SME,231.0,204.4,22 Mar `24,22.4 Cr,₹ 96,53.0x,1266.9x,329.3x,331.8x,115.0,115.5,19.8%,140.6%
606,Enser Communications,SME,16.5,143.8,22 Mar `24,16.2 Cr,₹ 70,-,3.6x,10.4x,7.0x,72.0,70.1,2.9%,-52.9%
607,AVP Infracon,SME,173.5,433.4,20 Mar `24,52.3 Cr,₹ 75,0.5x,57.5x,27.6x,18.5x,79.0,75.0,5.3%,131.3%
608,Signoria Creation,SME,107.0,50.9,19 Mar `24,9.3 Cr,₹ 65,41.9x,1962.0x,888.2x,626.1x,131.0,137.6,101.5%,64.6%
609,Royal Sense,SME,239.4,128.1,19 Mar `24,9.9 Cr,₹ 68,-,8.9x,6.5x,7.7x,129.2,122.7,90.0%,252.1%
610,Pratham EPC Projects,SME,144.0,262.3,18 Mar `24,36.0 Cr,₹ 75,37.3x,426.6x,238.5x,166.1x,113.3,119.0,51.1%,92.0%
611,Pune E-Stock Broking,SME,204.0,319.3,15 Mar `24,38.2 Cr,₹ 83,123.0x,357.5x,338.9x,296.6x,130.0,133.2,56.6%,145.8%
